username,gender,institution_name,exam_topic_name,complaint_status,year,total_score,is_disqualified,is_absent,supervisor_report,status,pass_fail,score_vs_pass_mark,percentile_by_topic,rank_in_topic,rank_in_institution_by_topic
euee14519218,Male,HILCOE SCHOOL OF COMPUTER SCIENCE & TECHNOLOGY,Software Engineering,1,2018 End Year,77.5,0,0,0,Pass,Pass,27.5,90.12,21,14
euee14519318,Male,HILCOE SCHOOL OF COMPUTER SCIENCE & TECHNOLOGY,Software Engineering,1,2018 End Year,60.0,0,0,0,Pass,Pass,10.0,37.9,153,50
euee14519418,Male,HILCOE SCHOOL OF COMPUTER SCIENCE & TECHNOLOGY,Software Engineering,1,2018 End Year,43.75,0,0,0,Fail,Fail,-6.25,10.28,222,59
euee14519518,Male,HILCOE SCHOOL OF COMPUTER SCIENCE & TECHNOLOGY,Software Engineering,1,2018 End Year,57.5,0,0,0,Pass,Pass,7.5,33.47,162,52
euee14519618,Male,HILCOE SCHOOL OF COMPUTER SCIENCE & TECHNOLOGY,Software Engineering,1,2018 End Year,50.0,0,0,0,Pass,Pass,0.0,21.17,193,57
euee14519718,Male,HILCOE SCHOOL OF COMPUTER SCIENCE & TECHNOLOGY,Software Engineering,1,2018 End Year,71.25,0,0,0,Pass,Pass,21.25,65.73,78,27
euee14519818,Male,HILCOE SCHOOL OF COMPUTER SCIENCE & TECHNOLOGY,Software Engineering,1,2018 End Year,82.5,0,0,0,Pass,Pass,32.5,97.38,6,4
euee14519918,Male,HILCOE SCHOOL OF COMPUTER SCIENCE & TECHNOLOGY,Software Engineering,1,2018 End Year,72.5,0,0,0,Pass,Pass,22.5,72.58,61,23
euee14520018,Male,HILCOE SCHOOL OF COMPUTER SCIENCE & TECHNOLOGY,Software Engineering,1,2018 End Year,81.25,0,0,0,Pass,Pass,31.25,95.56,10,7
euee14520218,Male,HILCOE SCHOOL OF COMPUTER SCIENCE & TECHNOLOGY,Software Engineering,1,2018 End Year,68.75,0,0,0,Pass,Pass,18.75,57.06,103,35
euee14520318,Male,HILCOE SCHOOL OF COMPUTER SCIENCE & TECHNOLOGY,Software Engineering,1,2018 End Year,66.25,0,0,0,Pass,Pass,16.25,51.21,119,42
euee14520418,Male,HILCOE SCHOOL OF COMPUTER SCIENCE & TECHNOLOGY,Software Engineering,1,2018 End Year,78.75,0,0,0,Pass,Pass,28.75,93.15,16,11
euee14520518,Male,HILCOE SCHOOL OF COMPUTER SCIENCE & TECHNOLOGY,Software Engineering,1,2018 End Year,61.25,0,0,0,Pass,Pass,11.25,39.72,149,49
euee14520618,Male,HILCOE SCHOOL OF COMPUTER SCIENCE & TECHNOLOGY,Software Engineering,1,2018 End Year,71.25,0,0,0,Pass,Pass,21.25,65.73,78,27
euee14520718,Male,HILCOE SCHOOL OF COMPUTER SCIENCE & TECHNOLOGY,Software Engineering,1,2018 End Year,71.25,0,0,0,Pass,Pass,21.25,65.73,78,27
euee14520818,Female,HILCOE SCHOOL OF COMPUTER SCIENCE & TECHNOLOGY,Software Engineering,1,2018 End Year,62.5,0,0,0,Pass,Pass,12.5,42.74,138,46
euee14521018,Female,HILCOE SCHOOL OF COMPUTER SCIENCE & TECHNOLOGY,Software Engineering,1,2018 End Year,73.75,0,0,0,Pass,Pass,23.75,77.62,53,22
euee14521118,Male,HILCOE SCHOOL OF COMPUTER SCIENCE & TECHNOLOGY,Software Engineering,1,2018 End Year,58.75,0,0,0,Pass,Pass,8.75,36.09,158,51
euee14521218,Male,HILCOE SCHOOL OF COMPUTER SCIENCE & TECHNOLOGY,Software Engineering,1,2018 End Year,71.25,0,0,0,Pass,Pass,21.25,65.73,78,27
